city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Ocaña,8.2404,-73.3500,Colombia,CO,Norte de Santander,minor,83511,83292
San Andrés,12.5847,-81.7006,Colombia,CO,San Andrés y Providencia,admin,71946,71946
Villa del Rosario,7.8353,-72.4736,Colombia,CO,Norte de Santander,minor,69833,69833
San José del Guaviare,2.5653,-72.6386,Colombia,CO,Guaviare,admin,68878,68878
Sabanalarga,10.6400,-74.9200,Colombia,CO,Atlántico,minor,68535,63027
Yopal,5.3470,-72.4060,Colombia,CO,Casanare,admin,61029,61029
El Carmen de Bolívar,9.7204,-75.1300,Colombia,CO,Bolívar,minor,60980,47957
Garzón,2.2104,-75.6500,Colombia,CO,Huila,minor,56603,29451
El Banco,9.0003,-73.9800,Colombia,CO,Magdalena,minor,54522,24735
Chiquinquirá,5.6204,-73.8199,Colombia,CO,Boyacá,minor,53975,45294
Pamplona,7.3904,-72.6600,Colombia,CO,Norte de Santander,minor,53587,52247
Lorica,9.2419,-75.8160,Colombia,CO,Córdoba,minor,52771,40605
Turbo,8.1004,-76.7400,Colombia,CO,Antioquia,minor,50508,34007
Arjona,10.2600,-75.3500,Colombia,CO,Bolívar,minor,50405,44045
Honda,5.1903,-74.7500,Colombia,CO,Tolima,minor,35469,28158
Yarumal,7.0306,-75.5905,Colombia,CO,Antioquia,,35315,35315
Puerto Berrío,6.4804,-74.4200,Colombia,CO,Antioquia,minor,33983,32405
Túquerres,1.0900,-77.6199,Colombia,CO,Nariño,minor,33979,20184
Leticia,-4.2150,-69.9411,Colombia,CO,Amazonas,admin,32450,32450
Tame,6.4603,-71.7400,Colombia,CO,Arauca,minor,29099,20961
Mitú,1.2503,-70.2350,Colombia,CO,Vaupés,admin,28382,28382
Santiago de Tolú,9.5358,-75.5720,Colombia,CO,Sucre,minor,27390,12049
Socorro,6.4603,-73.2700,Colombia,CO,Santander,minor,24895,17752
Ayapel,8.3304,-75.1500,Colombia,CO,Córdoba,minor,23639,22602
Campoalegre,2.6900,-75.3300,Colombia,CO,Huila,minor,22568,11549
Mocoa,1.1500,-76.6300,Colombia,CO,Putumayo,admin,22035,22035
San Jacinto,9.8311,-75.1219,Colombia,CO,Bolívar,minor,21644,21644
Sonsón,5.7166,-75.3166,Colombia,CO,Antioquia,minor,18817,17232
Puerto Carreño,6.1889,-67.4858,Colombia,CO,Vichada,admin,16763,16763
Puerto López,4.0900,-72.9600,Colombia,CO,Meta,minor,16678,7649
San Martín,3.6904,-73.6900,Colombia,CO,Meta,minor,16273,8335
Guapí,2.5604,-77.8600,Colombia,CO,Cauca,minor,13853,13853
Inírida,3.8540,-67.9061,Colombia,CO,Guainía,admin,9065,7298
Puerto Nariño,-3.7703,-70.3831,Colombia,CO,Amazonas,minor,6816,6816
Orocué,4.7946,-71.3400,Colombia,CO,Casanare,minor,2835,1418
Nuquí,5.6852,-77.2745,Colombia,CO,Chocó,minor,2741,233
Juradó,7.1114,-77.7714,Colombia,CO,Chocó,minor,2351,2351
San Vicente del Caguán,2.0704,-74.6400,Colombia,CO,Caquetá,minor,1500,1000
Guatapé,6.2325,-75.1586,Colombia,CO,Antioquia,minor,8.363,8.363
Itagüí,6.1846,-75.5991,Colombia,CO,Antioquia,minor,,
Envigado,6.1759,-75.5917,Colombia,CO,Antioquia,minor,,
Sabaneta,6.1513,-75.6172,Colombia,CO,Antioquia,minor,,
Soacha,4.5794,-74.2168,Colombia,CO,Cundinamarca,minor,,
Floridablanca,7.0622,-73.0864,Colombia,CO,Santander,minor,,
Dosquebradas,4.8392,-75.6673,Colombia,CO,Risaralda,minor,,
Chía,4.8588,-74.0587,Colombia,CO,Cundinamarca,minor,,
La Estrella,6.1577,-75.6432,Colombia,CO,Antioquia,minor,,
Mosquera,4.7059,-74.2302,Colombia,CO,Cundinamarca,minor,,
Malambo,10.8595,-74.7739,Colombia,CO,Atlántico,minor,,
Funza,4.7164,-74.2120,Colombia,CO,Cundinamarca,minor,,
Cajicá,4.9186,-74.0280,Colombia,CO,Cundinamarca,minor,,
Copacabana,6.3463,-75.5089,Colombia,CO,Antioquia,minor,,
La Virginia,4.8997,-75.8825,Colombia,CO,Risaralda,minor,,
Facatativá,4.8137,-74.3545,Colombia,CO,Cundinamarca,minor,,
Sabanagrande,10.7897,-74.7566,Colombia,CO,Atlántico,minor,,
Madrid,4.7324,-74.2642,Colombia,CO,Cundinamarca,minor,,
Fusagasugá,4.3365,-74.3638,Colombia,CO,Cundinamarca,minor,,
Los Patios,7.8379,-72.5037,Colombia,CO,Norte de Santander,minor,,
Zipaquirá,5.0221,-74.0048,Colombia,CO,Cundinamarca,minor,,
Girardota,6.3775,-75.4488,Colombia,CO,Antioquia,minor,,
Tocancipá,4.9653,-73.9130,Colombia,CO,Cundinamarca,minor,,
Caldas,6.0911,-75.6357,Colombia,CO,Antioquia,minor,,
Rionegro,6.1551,-75.3737,Colombia,CO,Antioquia,minor,,
Barbosa,5.9317,-73.6151,Colombia,CO,Santander,minor,,
San José,1.4745,-77.0814,Colombia,CO,Nariño,minor,,
Galapa,10.8969,-74.8860,Colombia,CO,Atlántico,minor,,
Cota,4.8094,-74.0980,Colombia,CO,Cundinamarca,minor,,
Yumbo,3.5823,-76.4915,Colombia,CO,Valle del Cauca,minor,,
Alcalá,4.6747,-75.7825,Colombia,CO,Valle del Cauca,minor,,
La Tebaida,4.4526,-75.7875,Colombia,CO,Quindío,minor,,
Baranoa,10.7941,-74.9164,Colombia,CO,Atlántico,minor,,
Tabio,4.9173,-74.0936,Colombia,CO,Cundinamarca,minor,,
Marinilla,6.1736,-75.3362,Colombia,CO,Antioquia,minor,,
Turbaco,10.3294,-75.4114,Colombia,CO,Bolívar,minor,,
Chinchiná,4.9825,-75.6036,Colombia,CO,Caldas,minor,,
Gachancipá,4.9911,-73.8715,Colombia,CO,Cundinamarca,minor,,
Puerto Colombia,10.9878,-74.9547,Colombia,CO,Atlántico,minor,,
La Ceja,6.0308,-75.4315,Colombia,CO,Antioquia,minor,,
Girón,7.0682,-73.1698,Colombia,CO,Santander,minor,,
Santuario,6.1383,-75.2642,Colombia,CO,Antioquia,minor,,
Puerto Tejada,3.2311,-76.4167,Colombia,CO,Cauca,minor,,
Villa de San Diego de Ubaté,5.3093,-73.8157,Colombia,CO,Cundinamarca,minor,,
Amagá,6.0400,-75.7032,Colombia,CO,Antioquia,minor,,
Espinal,4.1492,-74.8843,Colombia,CO,Tolima,minor,,
Calarcá,4.5295,-75.6409,Colombia,CO,Quindío,minor,,
Cereté,8.8848,-75.7905,Colombia,CO,Córdoba,minor,,
Sibaté,4.4915,-74.2596,Colombia,CO,Cundinamarca,minor,,
Sesquilé,5.0446,-73.7972,Colombia,CO,Cundinamarca,minor,,
Santo Tomás,10.7577,-74.7545,Colombia,CO,Atlántico,minor,,
Flandes,4.2840,-74.8142,Colombia,CO,Tolima,minor,,
Palmar de Varela,10.7405,-74.7544,Colombia,CO,Atlántico,minor,,
Piedecuesta,6.9879,-73.0495,Colombia,CO,Santander,minor,,
Nobsa,5.7698,-72.9410,Colombia,CO,Boyacá,minor,,
San Gil,6.5557,-73.1331,Colombia,CO,Santander,minor,,
Málaga,6.6990,-72.7323,Colombia,CO,Santander,minor,,
La Unión,4.5328,-76.1032,Colombia,CO,Valle del Cauca,minor,,
Circasia,4.6189,-75.6358,Colombia,CO,Quindío,minor,,
San Bernardo,1.5152,-77.0468,Colombia,CO,Nariño,minor,,
Palmira,3.5394,-76.3036,Colombia,CO,Valle del Cauca,minor,,
Sopó,4.9075,-73.9384,Colombia,CO,Cundinamarca,minor,,
Providencia,1.2391,-77.5972,Colombia,CO,Nariño,minor,,
Coveñas,9.4025,-75.6803,Colombia,CO,Sucre,minor,,
Montenegro,4.5664,-75.7511,Colombia,CO,Quindío,minor,,
Ponedera,10.6430,-74.7539,Colombia,CO,Atlántico,minor,,
Pinillos,8.9192,-74.4677,Colombia,CO,Bolívar,minor,,
Candelaria,3.4067,-76.3482,Colombia,CO,Valle del Cauca,minor,,
Apartadó,7.8830,-76.6259,Colombia,CO,Antioquia,minor,,
Guarne,6.2805,-75.4435,Colombia,CO,Antioquia,minor,,
Guateque,5.0062,-73.4727,Colombia,CO,Boyacá,minor,,
Piendamó,2.6479,-76.5348,Colombia,CO,Cauca,minor,,
Jamundí,3.2607,-76.5350,Colombia,CO,Valle del Cauca,minor,,
Miranda,3.2528,-76.2292,Colombia,CO,Cauca,minor,,
San Andrés de Sotavento,9.1448,-75.5088,Colombia,CO,Córdoba,minor,,
Tuchín,9.1866,-75.5547,Colombia,CO,Córdoba,minor,,
Sandoná,1.2863,-77.4692,Colombia,CO,Nariño,minor,,
Quimbaya,4.6333,-75.7667,Colombia,CO,Quindío,minor,,
Sahagún,8.9462,-75.4427,Colombia,CO,Córdoba,minor,,
Marmato,5.4750,-75.6004,Colombia,CO,Caldas,minor,,
Barbosa,6.4381,-75.3314,Colombia,CO,Antioquia,minor,,
Corozal,9.3185,-75.2933,Colombia,CO,Sucre,minor,,
Suan,10.3335,-74.8802,Colombia,CO,Atlántico,minor,,
Santa Isabel,13.3817,-81.3689,Colombia,CO,San Andrés y Providencia,minor,,
Cisneros,6.5383,-75.0886,Colombia,CO,Antioquia,minor,,
La Mesa,4.6303,-74.4625,Colombia,CO,Cundinamarca,minor,,
Supía,5.4530,-75.6507,Colombia,CO,Caldas,minor,,
Pitalito,1.8497,-76.0478,Colombia,CO,Huila,minor,,
Polonuevo,10.7770,-74.8534,Colombia,CO,Atlántico,minor,,
Guacarí,3.7638,-76.3329,Colombia,CO,Valle del Cauca,minor,,
Villa Rica,3.1748,-76.4620,Colombia,CO,Cauca,minor,,
Quinchía,5.3396,-75.7302,Colombia,CO,Risaralda,minor,,
Melgar,4.2047,-74.6407,Colombia,CO,Tolima,minor,,
Palmar,6.5377,-73.2923,Colombia,CO,Santander,minor,,
El Rosal,4.8531,-74.2600,Colombia,CO,Cundinamarca,minor,,
Puerto Santander,8.3636,-72.4075,Colombia,CO,Norte de Santander,minor,,
Granada,3.5462,-73.7069,Colombia,CO,Meta,minor,,
Sibundoy,1.2024,-76.9177,Colombia,CO,Putumayo,minor,,
Cotorra,9.0389,-75.7897,Colombia,CO,Córdoba,minor,,
El Colegio,4.5810,-74.4429,Colombia,CO,Cundinamarca,minor,,
Cachipay,4.7304,-74.4366,Colombia,CO,Cundinamarca,minor,,
Gualmatán,0.9199,-77.5674,Colombia,CO,Nariño,minor,,
Sampués,9.1836,-75.3817,Colombia,CO,Sucre,minor,,
Santander de Quilichao,3.0095,-76.4849,Colombia,CO,Cauca,minor,,
Buenos Aires,3.0150,-76.6428,Colombia,CO,Cauca,minor,,
Belén,1.5979,-77.0140,Colombia,CO,Nariño,minor,,
Cogua,5.0605,-73.9793,Colombia,CO,Cundinamarca,minor,,
Recetor,5.2295,-72.7610,Colombia,CO,Casanare,minor,,
Coello,4.2891,-74.8982,Colombia,CO,Tolima,minor,,
Tena,4.6600,-74.3926,Colombia,CO,Cundinamarca,minor,,
Timbío,2.3502,-76.6834,Colombia,CO,Cauca,minor,,
Tibasosa,5.7500,-73.0000,Colombia,CO,Boyacá,minor,,
Tenjo,4.8727,-74.1444,Colombia,CO,Cundinamarca,minor,,
Génova,1.6437,-77.0192,Colombia,CO,Nariño,minor,,
Granada,4.5200,-74.3526,Colombia,CO,Cundinamarca,minor,,
Marquetalia,5.2966,-75.0550,Colombia,CO,Caldas,minor,,
Santa Rosa,10.4447,-75.3697,Colombia,CO,Bolívar,minor,,
La Unión,1.6045,-77.1315,Colombia,CO,Nariño,minor,,
Villeta,5.0089,-74.4723,Colombia,CO,Cundinamarca,minor,,
Riosucio,5.4216,-75.7032,Colombia,CO,Caldas,minor,,
Motavita,5.5765,-73.3670,Colombia,CO,Boyacá,minor,,
Peñol,6.2191,-75.2433,Colombia,CO,Antioquia,minor,,
Tiquisio,8.5564,-74.2633,Colombia,CO,Bolívar,minor,,
San Pablo,1.6715,-77.0141,Colombia,CO,Nariño,minor,,
Campo de la Cruz,10.3781,-74.8836,Colombia,CO,Atlántico,minor,,
Guática,5.3157,-75.7983,Colombia,CO,Risaralda,minor,,
Clemencia,10.5665,-75.3250,Colombia,CO,Bolívar,minor,,
Pradera,3.4211,-76.2447,Colombia,CO,Valle del Cauca,minor,,
Villamaría,5.0457,-75.5147,Colombia,CO,Caldas,minor,,
Contadero,0.9084,-77.5477,Colombia,CO,Nariño,minor,,
Nilo,4.3060,-74.6208,Colombia,CO,Cundinamarca,minor,,
Guachavés,1.2224,-77.6777,Colombia,CO,Nariño,minor,,
La Pintada,5.7487,-75.6063,Colombia,CO,Antioquia,minor,,
Pupiales,0.8714,-77.6403,Colombia,CO,Nariño,minor,,
Marsella,4.9372,-75.7378,Colombia,CO,Risaralda,minor,,
Susa,5.4519,-73.8144,Colombia,CO,Cundinamarca,minor,,
Ulloa,4.7044,-75.7403,Colombia,CO,Valle del Cauca,minor,,
Villanueva,10.4436,-75.2731,Colombia,CO,Bolívar,minor,,
Cicuco,9.2776,-74.6431,Colombia,CO,Bolívar,minor,,
La Dorada,5.4478,-74.6631,Colombia,CO,Caldas,minor,,
Florida,3.3223,-76.2348,Colombia,CO,Valle del Cauca,minor,,
San Cristóbal,10.3952,-75.0656,Colombia,CO,Bolívar,minor,,
Líbano,4.9218,-75.0623,Colombia,CO,Tolima,minor,,
San Bernardo del Viento,9.3533,-75.9524,Colombia,CO,Córdoba,minor,,
San Antonio del Tequendama,4.6162,-74.3520,Colombia,CO,Cundinamarca,minor,,
Belén de Umbría,5.2009,-75.8687,Colombia,CO,Risaralda,minor,,
Caicedonia,4.3324,-75.8267,Colombia,CO,Valle del Cauca,minor,,
Guadalajara de Buga,3.9009,-76.2978,Colombia,CO,Valle del Cauca,minor,,
Andalucía,4.1706,-76.1664,Colombia,CO,Valle del Cauca,minor,,
Roldanillo,4.4126,-76.1546,Colombia,CO,Valle del Cauca,minor,,
Filandia,4.6747,-75.6583,Colombia,CO,Quindío,minor,,
Anserma,5.2348,-75.7846,Colombia,CO,Caldas,minor,,
Prado-Sevilla,10.7634,-74.1392,Colombia,CO,Magdalena,minor,,
Palocabildo,5.1170,-75.0173,Colombia,CO,Tolima,minor,,
Villa de Leyva,5.6341,-73.5244,Colombia,CO,Boyacá,minor,,
Cáqueza,4.4057,-73.9468,Colombia,CO,Cundinamarca,minor,,
Puebloviejo,10.9938,-74.2844,Colombia,CO,Magdalena,minor,,
Santa Rosa de Cabal,4.8681,-75.6214,Colombia,CO,Risaralda,minor,,
Cabrera,6.5928,-73.2465,Colombia,CO,Santander,minor,,
Fresno,5.1526,-75.0362,Colombia,CO,Tolima,minor,,
Bojacá,4.7318,-74.3413,Colombia,CO,Cundinamarca,minor,,
Cartago,1.5515,-77.1195,Colombia,CO,Nariño,minor,,
Santa Lucía,10.3242,-74.9602,Colombia,CO,Atlántico,minor,,
Silvania,4.4037,-74.3867,Colombia,CO,Cundinamarca,minor,,
Ospina,1.0595,-77.5655,Colombia,CO,Nariño,minor,,
Moñitos,9.2455,-76.1302,Colombia,CO,Córdoba,minor,,
Nemocón,5.0677,-73.8777,Colombia,CO,Cundinamarca,minor,,
Simijaca,5.5029,-73.8523,Colombia,CO,Cundinamarca,minor,,
El Cerrito,3.6855,-76.3137,Colombia,CO,Valle del Cauca,minor,,
Agua de Dios,4.3765,-74.6700,Colombia,CO,Cundinamarca,minor,,
Carlosama,0.8629,-77.7273,Colombia,CO,Nariño,minor,,
Santa Bárbara,5.8746,-75.5671,Colombia,CO,Antioquia,minor,,
Aldana,0.8828,-77.7010,Colombia,CO,Nariño,minor,,
Nuevo Colón,5.3537,-73.4566,Colombia,CO,Boyacá,minor,,
Zarzal,4.3946,-76.0715,Colombia,CO,Valle del Cauca,minor,,
Nimaima,5.1261,-74.3849,Colombia,CO,Cundinamarca,minor,,
Carepa,7.7585,-76.6525,Colombia,CO,Antioquia,minor,,
Palestina,5.0161,-75.6285,Colombia,CO,Caldas,minor,,
Berruecos,1.5040,-77.1355,Colombia,CO,Nariño,minor,,
Albán,4.8766,-74.4377,Colombia,CO,Cundinamarca,minor,,
Samacá,5.4927,-73.4854,Colombia,CO,Boyacá,minor,,
Apía,5.1066,-75.9424,Colombia,CO,Risaralda,minor,,
Pueblorrico,5.7918,-75.8410,Colombia,CO,Antioquia,minor,,
Güepsa,6.0251,-73.5731,Colombia,CO,Santander,minor,,
Purísima de la Concepción,9.2366,-75.7219,Colombia,CO,Córdoba,minor,,
Chivatá,5.5582,-73.2820,Colombia,CO,Boyacá,minor,,
San Sebastián de Mariquita,5.1989,-74.8929,Colombia,CO,Tolima,minor,,
Restrepo,3.8220,-76.5224,Colombia,CO,Valle del Cauca,minor,,
La Unión,5.9743,-75.3620,Colombia,CO,Antioquia,minor,,
Ciudad Bolívar,5.8539,-76.0253,Colombia,CO,Antioquia,minor,,
San Pedro,6.4613,-75.5578,Colombia,CO,Antioquia,minor,,
Andes,5.6561,-75.8788,Colombia,CO,Antioquia,minor,,
Luruaco,10.6106,-75.1428,Colombia,CO,Atlántico,minor,,
Calamar,10.2527,-74.9157,Colombia,CO,Bolívar,minor,,
Jenesano,5.3854,-73.3636,Colombia,CO,Boyacá,minor,,
Florencia,1.6832,-77.0733,Colombia,CO,Cauca,minor,,
Anapoima,4.5510,-74.5352,Colombia,CO,Cundinamarca,minor,,
Hatonuevo,11.0676,-72.7612,Colombia,CO,La Guajira,minor,,
Aguachica,8.3084,-73.6166,Colombia,CO,Cesar,minor,,
San José,5.0822,-75.7911,Colombia,CO,Caldas,minor,,
Tópaga,5.7598,-72.8258,Colombia,CO,Boyacá,minor,,
Corinto,3.1730,-76.2627,Colombia,CO,Cauca,minor,,
Venecia,5.9628,-75.7381,Colombia,CO,Antioquia,minor,,
Titiribí,6.0628,-75.7937,Colombia,CO,Antioquia,minor,,
Cucaita,5.5437,-73.4543,Colombia,CO,Boyacá,minor,,
La Vega,2.0019,-76.7789,Colombia,CO,Cauca,minor,,
Iles,0.9704,-77.5215,Colombia,CO,Nariño,minor,,
Angelópolis,6.1107,-75.7092,Colombia,CO,Antioquia,minor,,
Carmen de Viboral,6.0824,-75.3351,Colombia,CO,Antioquia,minor,,
Santa Rosa de Viterbo,5.8740,-72.9822,Colombia,CO,Boyacá,minor,,
Padilla,3.2204,-76.3139,Colombia,CO,Cauca,minor,,
Sutatenza,5.0231,-73.4523,Colombia,CO,Boyacá,minor,,
Momil,9.2377,-75.6749,Colombia,CO,Córdoba,minor,,
María la Baja,9.9832,-75.3016,Colombia,CO,Bolívar,minor,,
Santana,6.0575,-73.4811,Colombia,CO,Boyacá,minor,,
Timaná,1.9714,-75.9312,Colombia,CO,Huila,minor,,
Risaralda,5.1665,-75.7660,Colombia,CO,Caldas,minor,,
Fredonia,5.9258,-75.6706,Colombia,CO,Antioquia,minor,,
Ventaquemada,5.3675,-73.5207,Colombia,CO,Boyacá,minor,,
Caloto,3.0359,-76.4079,Colombia,CO,Cauca,minor,,
Anolaima,4.7618,-74.4640,Colombia,CO,Cundinamarca,minor,,
Guachené,3.1333,-76.3927,Colombia,CO,Cauca,minor,,
Yacuanquer,1.1158,-77.4017,Colombia,CO,Nariño,minor,,
Ciénaga de Oro,8.8744,-75.6203,Colombia,CO,Córdoba,minor,,
Concordia,6.0464,-75.9071,Colombia,CO,Antioquia,minor,,
San Vicente,6.2853,-75.3338,Colombia,CO,Antioquia,minor,,
Manaure Balcón del Cesar,10.3928,-73.0325,Colombia,CO,Cesar,minor,,
Pinchote,6.5323,-73.1731,Colombia,CO,Santander,minor,,
Juan de Acosta,10.8293,-75.0335,Colombia,CO,Atlántico,minor,,
Donmatías,6.4857,-75.3950,Colombia,CO,Antioquia,minor,,
Manzanares,5.2540,-75.1540,Colombia,CO,Caldas,minor,,
Moniquirá,5.8764,-73.5728,Colombia,CO,Boyacá,minor,,
Zipacón,4.7588,-74.3802,Colombia,CO,Cundinamarca,minor,,
Turbaná,10.2717,-75.4422,Colombia,CO,Bolívar,minor,,
Caldono,2.7974,-76.4832,Colombia,CO,Cauca,minor,,
Suesca,5.1029,-73.7985,Colombia,CO,Cundinamarca,minor,,
Hispania,5.7993,-75.9072,Colombia,CO,Antioquia,minor,,
Repelón,10.4952,-75.1245,Colombia,CO,Atlántico,minor,,
Nariño,1.2899,-77.3572,Colombia,CO,Nariño,minor,,
Paipa,5.7801,-73.1171,Colombia,CO,Boyacá,minor,,
Chinácota,7.6073,-72.6011,Colombia,CO,Norte de Santander,minor,,
Villanueva,10.6077,-72.9790,Colombia,CO,La Guajira,minor,,
Vijes,3.6993,-76.4423,Colombia,CO,Valle del Cauca,minor,,
Cómbita,5.6331,-73.3240,Colombia,CO,Boyacá,minor,,
Boyacá,5.4537,-73.3625,Colombia,CO,Boyacá,minor,,
San Juan de Urabá,8.7592,-76.5297,Colombia,CO,Antioquia,minor,,
Almaguer,1.9147,-76.8548,Colombia,CO,Cauca,minor,,
Candelaria,10.4591,-74.8797,Colombia,CO,Atlántico,minor,,
Concordia,10.2576,-74.8333,Colombia,CO,Magdalena,minor,,
Chigorodó,7.6664,-76.6811,Colombia,CO,Antioquia,minor,,
Chachagüí,1.3613,-77.2838,Colombia,CO,Nariño,minor,,
Viterbo,5.0624,-75.8716,Colombia,CO,Caldas,minor,,
Soplaviento,10.3931,-75.1408,Colombia,CO,Bolívar,minor,,
Guachucal,0.9609,-77.7316,Colombia,CO,Nariño,minor,,
Maicao,11.3784,-72.2395,Colombia,CO,La Guajira,minor,,
Soracá,5.5005,-73.3330,Colombia,CO,Boyacá,minor,,
Manaure,11.7750,-72.4445,Colombia,CO,La Guajira,minor,,
La Vega,4.9978,-74.3398,Colombia,CO,Cundinamarca,minor,,
San Pelayo,8.9583,-75.8363,Colombia,CO,Córdoba,minor,,
San Pedro,3.9946,-76.2278,Colombia,CO,Valle del Cauca,minor,,
Mompós,9.2419,-74.4267,Colombia,CO,Bolívar,minor,,
Guadalupe,2.0248,-75.7559,Colombia,CO,Huila,minor,,
Belalcázar,4.9953,-75.8128,Colombia,CO,Caldas,minor,,
El Retén,10.6114,-74.2682,Colombia,CO,Magdalena,minor,,
Ciénega,5.4087,-73.2957,Colombia,CO,Boyacá,minor,,
La Dorada,0.3431,-76.9112,Colombia,CO,Putumayo,minor,,
Oporapa,2.0238,-75.9959,Colombia,CO,Huila,minor,,
Usiacurí,10.7431,-74.9760,Colombia,CO,Atlántico,minor,,
Sasaima,4.9638,-74.4348,Colombia,CO,Cundinamarca,minor,,
Santa Catalina,10.6036,-75.2882,Colombia,CO,Bolívar,minor,,
La Hormiga,0.4258,-76.9056,Colombia,CO,Putumayo,minor,,
Garagoa,5.0824,-73.3633,Colombia,CO,Boyacá,minor,,
Jambaló,2.7776,-76.3244,Colombia,CO,Cauca,minor,,
Tenza,5.0766,-73.4208,Colombia,CO,Boyacá,minor,,
Taminango,1.5703,-77.2804,Colombia,CO,Nariño,minor,,
Rosas,2.2609,-76.7399,Colombia,CO,Cauca,minor,,
Nocaima,5.0698,-74.3780,Colombia,CO,Cundinamarca,minor,,
Toro,4.6117,-76.0814,Colombia,CO,Valle del Cauca,minor,,
Chinú,9.1057,-75.3981,Colombia,CO,Córdoba,minor,,
Los Palmitos,9.3790,-75.2677,Colombia,CO,Sucre,minor,,
Puerto Escondido,9.0181,-76.2641,Colombia,CO,Córdoba,minor,,
Palmito,9.3319,-75.5417,Colombia,CO,Sucre,minor,,
Subachoque,4.9261,-74.1730,Colombia,CO,Cundinamarca,minor,,
La Celia,5.0033,-76.0035,Colombia,CO,Risaralda,minor,,
Jardín,5.5990,-75.8198,Colombia,CO,Antioquia,minor,,
Morroa,9.3335,-75.3054,Colombia,CO,Sucre,minor,,
La Calera,4.7207,-73.9693,Colombia,CO,Cundinamarca,minor,,
Villapinzón,5.2162,-73.5949,Colombia,CO,Cundinamarca,minor,,
San Jerónimo,6.4434,-75.7281,Colombia,CO,Antioquia,minor,,
Chocontá,5.1447,-73.6858,Colombia,CO,Cundinamarca,minor,,
Neira,5.1665,-75.5200,Colombia,CO,Caldas,minor,,
Ancuya,1.2633,-77.5138,Colombia,CO,Nariño,minor,,
Purificación,3.8587,-74.9313,Colombia,CO,Tolima,minor,,
San Francisco,4.9737,-74.2901,Colombia,CO,Cundinamarca,minor,,
Buenavista,9.3194,-74.9736,Colombia,CO,Sucre,minor,,
San Lorenzo,1.5029,-77.2154,Colombia,CO,Nariño,minor,,
Consacá,1.2081,-77.4655,Colombia,CO,Nariño,minor,,
Imués,1.0552,-77.4967,Colombia,CO,Nariño,minor,,
San Pedro,9.3956,-75.0648,Colombia,CO,Sucre,minor,,
Sutatausa,5.2478,-73.8524,Colombia,CO,Cundinamarca,minor,,
